"area","module_name","declaration_count","allowlisted","handler_exists","source_condition"
"farm","cgi_farm_activity","1","true","true","allowed-handler-present"
"farm","cgi_farm_adopt_beast","1","true","true","allowed-handler-present"
"farm","cgi_farm_attack_beast","1","true","true","allowed-handler-present"
"farm","cgi_farm_beast_getnick","2","true","true","allowed-handler-present"
"farm","cgi_farm_buyitem","1","true","true","allowed-handler-present"
"farm","cgi_farm_buyweapon","1","true","true","allowed-handler-present"
"farm","cgi_farm_ceremony_package","1","true","true","allowed-handler-present"
"farm","cgi_farm_donate_beast","1","true","true","allowed-handler-present"
"farm","cgi_farm_exchange","1","true","true","allowed-handler-present"
"farm","cgi_farm_flower_del_msg","1","true","false","allowed-handler-missing"
"farm","cgi_farm_flower_get_card","1","true","true","allowed-handler-present"
"farm","cgi_farm_flower_received","1","true","true","allowed-handler-present"
"farm","cgi_farm_flower_send","1","true","true","allowed-handler-present"
"farm","cgi_farm_get_moralexp","1","true","true","allowed-handler-present"
"farm","cgi_farm_get_userbeast","1","true","true","allowed-handler-present"
"farm","cgi_farm_get_usercrystal","1","true","true","allowed-handler-present"
"farm","cgi_farm_getstatus_filter","1","true","true","allowed-handler-present"
"farm","cgi_farm_getusercrop","1","true","true","allowed-handler-present"
"farm","cgi_farm_guang_gun","2","true","true","allowed-handler-present"
"farm","cgi_farm_halloweeneve_bonus","1","true","true","allowed-handler-present"
"farm","cgi_farm_halloweeneve_initview","1","true","true","allowed-handler-present"
"farm","cgi_farm_housekeeper","1","true","false","allowed-handler-missing"
"farm","cgi_farm_hpage_beast","1","true","true","allowed-handler-present"
"farm","cgi_farm_item_vip","1","true","true","allowed-handler-present"
"farm","cgi_farm_landext_fund","1","true","true","allowed-handler-present"
"farm","cgi_farm_login_click","1","true","true","allowed-handler-present"
"farm","cgi_farm_login_home","1","true","true","allowed-handler-present"
"farm","cgi_farm_newyear_getflag","1","true","true","allowed-handler-present"
"farm","cgi_farm_open_slot","1","true","true","allowed-handler-present"
"farm","cgi_farm_pickup_crystal","1","true","true","allowed-handler-present"
"farm","cgi_farm_raise_beast","1","true","true","allowed-handler-present"
"farm","cgi_farm_request_count","1","true","true","allowed-handler-present"
"farm","cgi_farm_request_gift_recv","1","true","false","allowed-handler-missing"
"farm","cgi_farm_request_list","1","true","true","allowed-handler-present"
"farm","cgi_farm_reward_beast","1","true","true","allowed-handler-present"
"farm","cgi_farm_seed_list","1","true","true","allowed-handler-present"
"farm","cgi_farm_seed_sell","1","true","true","allowed-handler-present"
"farm","cgi_farm_sell_crystal","1","true","true","allowed-handler-present"
"farm","cgi_farm_sendrequest","1","true","false","allowed-handler-missing"
"farm","cgi_farm_set_lock","1","true","true","allowed-handler-present"
"farm","cgi_farm_shop_pay","1","true","true","allowed-handler-present"
"farm","cgi_farm_shop_pay11","0","false","true","handler-not-allowlisted"
"farm","cgi_farm_shop_verify","1","true","true","allowed-handler-present"
"farm","cgi_farm_thanksgiving_initview","1","true","true","allowed-handler-present"
"farm","cgi_farm_thanksgiving_setfree","1","true","true","allowed-handler-present"
"farm","cgi_farm_upgrade","1","true","true","allowed-handler-present"
"farm","cgi_farm_upgrade_black","1","true","true","allowed-handler-present"
"farm","cgi_fetch_package_flags","1","true","true","allowed-handler-present"
"farm","cgi_fetch_strategy_rules","1","true","true","allowed-handler-present"
"farm","cgi_fish_buy","1","true","true","allowed-handler-present"
"farm","cgi_fish_fertilize","1","true","true","allowed-handler-present"
"farm","cgi_fish_getall","1","true","true","allowed-handler-present"
"farm","cgi_fish_harvest","1","true","true","allowed-handler-present"
"farm","cgi_fish_index","1","true","true","allowed-handler-present"
"farm","cgi_fish_list","1","true","true","allowed-handler-present"
"farm","cgi_fish_output","1","true","true","allowed-handler-present"
"farm","cgi_fish_plant","1","true","true","allowed-handler-present"
"farm","cgi_fish_register","1","true","true","allowed-handler-present"
"farm","cgi_fish_rep_lock","1","true","true","allowed-handler-present"
"farm","cgi_fish_sale","1","true","true","allowed-handler-present"
"farm","cgi_fish_steal","1","true","true","allowed-handler-present"
"farm","cgi_fish_unlock","1","true","true","allowed-handler-present"
"farm","cgi_fish_user_rep","1","true","true","allowed-handler-present"
"farm","cgi_get_thanks_package","1","true","true","allowed-handler-present"
"farm","cgi_pasture_checkbitmap","1","true","true","allowed-handler-present"
"farm","cgi_pasture_chunjie","1","true","true","allowed-handler-present"
"farm","cgi_pasture_signin","1","true","true","allowed-handler-present"
"farm","cgi_register","1","true","true","allowed-handler-present"
"farm","cgi_return_gift","1","true","false","allowed-handler-missing"
"farm","cgi_ua_stat","1","true","true","allowed-handler-present"
"farm","cgi_ws_com","1","true","true","allowed-handler-present"
"farm","chat_clearchat","1","true","true","allowed-handler-present"
"farm","chat_clearlog","1","true","true","allowed-handler-present"
"farm","chat_getallinfo","1","true","true","allowed-handler-present"
"farm","chat_sendchat","1","true","true","allowed-handler-present"
"farm","dog_feedmoney","1","true","true","allowed-handler-present"
"farm","farmlandstatus_clearweed","1","true","true","allowed-handler-present"
"farm","farmlandstatus_fertilize","1","true","true","allowed-handler-present"
"farm","farmlandstatus_getoutput","1","true","true","allowed-handler-present"
"farm","farmlandstatus_harvest","1","true","true","allowed-handler-present"
"farm","farmlandstatus_pest","1","true","true","allowed-handler-present"
"farm","farmlandstatus_planting","1","true","true","allowed-handler-present"
"farm","farmlandstatus_scarify","1","true","true","allowed-handler-present"
"farm","farmlandstatus_scatterseed","1","true","true","allowed-handler-present"
"farm","farmlandstatus_scrounge","1","true","true","allowed-handler-present"
"farm","farmlandstatus_spraying","1","true","true","allowed-handler-present"
"farm","farmlandstatus_water","1","true","true","allowed-handler-present"
"farm","fcg_ws_get_costfeeds","1","true","true","allowed-handler-present"
"farm","feast_getpackage","1","true","true","allowed-handler-present"
"farm","feast_getpackagelist","1","true","true","allowed-handler-present"
"farm","feast_levelup","1","true","true","allowed-handler-present"
"farm","feeds_delete","1","true","true","allowed-handler-present"
"farm","feeds_select","1","true","true","allowed-handler-present"
"farm","friend","1","true","true","allowed-handler-present"
"farm","friend_1-3","0","false","true","handler-not-allowlisted"
"farm","gb_buy","1","true","true","allowed-handler-present"
"farm","hydra_feeds_delete","1","true","true","allowed-handler-present"
"farm","hydra_feeds_select","1","true","true","allowed-handler-present"
"farm","item_activeitem","1","true","true","allowed-handler-present"
"farm","item_buy","0","false","true","handler-not-allowlisted"
"farm","item_deactiveitem","1","true","true","allowed-handler-present"
"farm","item_getuseritems","1","true","true","allowed-handler-present"
"farm","item_healthmode","1","true","true","allowed-handler-present"
"farm","item_shop","1","true","true","allowed-handler-present"
"farm","item_vip","0","false","true","handler-not-allowlisted"
"farm","pasture_checkbitmap","0","false","true","handler-not-allowlisted"
"farm","pasture_chunjie","0","false","true","handler-not-allowlisted"
"farm","qqshow_activeitem","1","true","true","allowed-handler-present"
"farm","qqshow_deactiveitem","1","true","true","allowed-handler-present"
"farm","repertory_buyseed","1","true","true","allowed-handler-present"
"farm","repertory_getseedinfo","1","true","false","allowed-handler-missing"
"farm","repertory_getusercrop","0","false","true","handler-not-allowlisted"
"farm","repertory_getuserseed","1","true","true","allowed-handler-present"
"farm","repertory_sale","1","true","true","allowed-handler-present"
"farm","repertory_saleall","1","true","true","allowed-handler-present"
"farm","request_get_count","1","true","true","allowed-handler-present"
"farm","seed_list","0","false","true","handler-not-allowlisted"
"farm","seed_sell","0","false","true","handler-not-allowlisted"
"farm","set_lock","0","false","true","handler-not-allowlisted"
"farm","shop_verify","1","true","true","allowed-handler-present"
"farm","sysmsg_select","1","true","true","allowed-handler-present"
"farm","task_accept","1","true","true","allowed-handler-present"
"farm","task_activity","1","true","true","allowed-handler-present"
"farm","task_checkbitmap","1","true","true","allowed-handler-present"
"farm","task_halloween","1","true","true","allowed-handler-present"
"farm","task_halloweenseed","1","true","true","allowed-handler-present"
"farm","task_npc","1","true","true","allowed-handler-present"
"farm","task_putin","1","true","true","allowed-handler-present"
"farm","task_qixiflag","1","true","true","allowed-handler-present"
"farm","task_update","1","true","true","allowed-handler-present"
"farm","tool_list","1","true","false","allowed-handler-missing"
"farm","user_card","0","false","true","handler-not-allowlisted"
"farm","user_case","1","true","true","allowed-handler-present"
"farm","user_checkstatus","1","true","true","allowed-handler-present"
"farm","user_costfeeds","1","true","true","allowed-handler-present"
"farm","user_del","0","false","true","handler-not-allowlisted"
"farm","user_exchange","0","false","true","handler-not-allowlisted"
"farm","user_getnotice","1","true","true","allowed-handler-present"
"farm","user_qqshow","1","true","true","allowed-handler-present"
"farm","user_received","1","true","true","allowed-handler-present"
"farm","user_reclaim","1","true","true","allowed-handler-present"
"farm","user_reclaimpay","1","true","true","allowed-handler-present"
"farm","user_run","1","true","true","allowed-handler-present"
"farm","user_send","0","false","true","handler-not-allowlisted"
"farm","user_upgrade","0","false","true","handler-not-allowlisted"
"farm","user_welcome","1","true","true","allowed-handler-present"
"farm","usertool_buytool","1","true","true","allowed-handler-present"
"farm","usertool_getseedinfo","2","true","true","allowed-handler-present"
"farm","usertool_gettools","1","true","true","allowed-handler-present"
"farm","view_fcg","1","true","true","allowed-handler-present"
"pasture","cgi_accept_gift","1","true","true","allowed-handler-present"
"pasture","cgi_active_guard","1","true","true","allowed-handler-present"
"pasture","cgi_active_item","1","true","true","allowed-handler-present"
"pasture","cgi_animal_tips","1","true","true","allowed-handler-present"
"pasture","cgi_buy_animal","1","true","true","allowed-handler-present"
"pasture","cgi_buy_food","1","true","true","allowed-handler-present"
"pasture","cgi_buy_guard","1","true","true","allowed-handler-present"
"pasture","cgi_buy_item","1","true","true","allowed-handler-present"
"pasture","cgi_clear_log","1","true","true","allowed-handler-present"
"pasture","cgi_demolish_pasture","1","true","true","allowed-handler-present"
"pasture","cgi_donate_animal","1","true","true","allowed-handler-present"
"pasture","cgi_enter","1","true","true","allowed-handler-present"
"pasture","cgi_farm_activity","1","true","true","allowed-handler-present"
"pasture","cgi_farm_adopt_beast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_attack_beast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_beast_getnick","1","true","true","allowed-handler-present"
"pasture","cgi_farm_buyweapon","1","true","true","allowed-handler-present"
"pasture","cgi_farm_ceremony_package","1","true","true","allowed-handler-present"
"pasture","cgi_farm_checkbitmap","1","true","true","allowed-handler-present"
"pasture","cgi_farm_donate_beast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_exchange","1","true","true","allowed-handler-present"
"pasture","cgi_farm_get_common_notice","1","true","true","allowed-handler-present"
"pasture","cgi_farm_get_halloweenseed","1","true","false","allowed-handler-missing"
"pasture","cgi_farm_get_moralexp","1","true","true","allowed-handler-present"
"pasture","cgi_farm_get_userbeast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_get_usercrystal","1","true","true","allowed-handler-present"
"pasture","cgi_farm_getusercrop","1","true","true","allowed-handler-present"
"pasture","cgi_farm_halloween","1","true","false","allowed-handler-missing"
"pasture","cgi_farm_hpage_beast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_open_slot","1","true","true","allowed-handler-present"
"pasture","cgi_farm_pickup_crystal","1","true","true","allowed-handler-present"
"pasture","cgi_farm_qixiflag","2","true","true","allowed-handler-present"
"pasture","cgi_farm_raise_beast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_reward_beast","1","true","true","allowed-handler-present"
"pasture","cgi_farm_sell_crystal","1","true","true","allowed-handler-present"
"pasture","cgi_farm_set_lock","1","true","true","allowed-handler-present"
"pasture","cgi_farm_shop_verify","1","true","true","allowed-handler-present"
"pasture","cgi_feed_food","1","true","true","allowed-handler-present"
"pasture","cgi_feed_special","1","true","true","allowed-handler-present"
"pasture","cgi_feedcan","1","true","true","allowed-handler-present"
"pasture","cgi_fetch_package_flags","1","true","true","allowed-handler-present"
"pasture","cgi_fetch_strategy_rules","1","true","true","allowed-handler-present"
"pasture","cgi_fight","1","true","true","allowed-handler-present"
"pasture","cgi_get_animals","1","true","true","allowed-handler-present"
"pasture","cgi_get_exp","1","true","true","allowed-handler-present"
"pasture","cgi_get_food","1","true","true","allowed-handler-present"
"pasture","cgi_get_gifts","1","true","true","allowed-handler-present"
"pasture","cgi_get_items","1","true","true","allowed-handler-present"
"pasture","cgi_get_notice","1","true","true","allowed-handler-present"
"pasture","cgi_get_package","1","true","true","allowed-handler-present"
"pasture","cgi_get_parade","1","true","true","allowed-handler-present"
"pasture","cgi_get_rep_history","1","true","true","allowed-handler-present"
"pasture","cgi_get_repertory","1","true","true","allowed-handler-present"
"pasture","cgi_get_repertory_animal","1","true","true","allowed-handler-present"
"pasture","cgi_get_thanks_package","1","true","true","allowed-handler-present"
"pasture","cgi_get_toollist","1","true","true","allowed-handler-present"
"pasture","cgi_get_user_info","1","true","true","allowed-handler-present"
"pasture","cgi_get_userguard","1","true","true","allowed-handler-present"
"pasture","cgi_get_useritem","1","true","true","allowed-handler-present"
"pasture","cgi_harvest_product","1","true","true","allowed-handler-present"
"pasture","cgi_help_pasture","1","true","true","allowed-handler-present"
"pasture","cgi_hide_guard","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_activity","2","true","true","allowed-handler-present"
"pasture","cgi_pasture_adopt_animal","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_animal_research","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_checkbitmap","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_chunjie","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_create_animal","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_crystal_blessing","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_login_click","1","true","true","allowed-handler-present"
"pasture","cgi_pasture_login_home","1","true","true","allowed-handler-present"
