"review_key","review_status","review_note"
"module/nc/crops/Flowers.swf","reviewed-ok","12 个花卉种子角色完整；根舞台为空符合纯素材库结构"
"module/nc/crops/Seeds_2.swf","reviewed-ok","14 个种子角色完整；根舞台为空符合纯素材库结构"
"module/nc/crops/Seeds_3_v_9.swf","reviewed-ok","21 个种子角色完整；根舞台为空符合纯素材库结构"
"module/nc/crops/Seeds.swf","reviewed-ok","根舞台总览和39个种子角色均完整，未见错位、裁切或重复污染"
"module/nc/flower/1.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/10.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/11.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/12.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/13.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/14.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/2.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/3.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/4.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/5.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/6.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/7.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/8.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/flower/9.swf","reviewed-ok","SWF 花束与同号 GIF 商店预览语义一致"
"module/nc/main/commonui_v_4.swf","reviewed-with-note","35 个可见通用 UI 角色完整；Level_mc、List_Next_End 和根舞台为空，List_UI 已由 JPEXS 回退导出"
"module/nc/main/farmui1_v_12.swf","reviewed-with-note","109 个可见 UI/动作角色完整；GoldB、Dog2、FDog2 和根舞台为空，WarehouseForm 已由 JPEXS 回退导出"
"module/nc/main/farmui2_v_4.swf","reviewed-ok","14 个农田、图标和错误页角色完整；根舞台为空符合素材库结构"
"module/nc/main/NPC3.swf","reviewed-ok","NPC 两帧角色完整；根舞台为空符合素材库结构"
"module/nc/main/outswf/help.swf","reviewed-ok","根帮助页及5个分页均经 JPEXS 回退完整导出"
"module/nc/main/task.swf","reviewed-ok","13 个任务说明和按钮角色完整；根舞台为空符合素材库结构"
"module/loading_v_13.swf","reviewed-ok","加载根舞台、进度条和100帧太阳动画均完整"
"module/mc/Master_v_27.swf","reviewed-with-note","35 个可见运行时外壳角色完整；根舞台为空，_-Fu 为不可视二进制数据"
"module/nc/Main_v_42.swf","reviewed-with-note","41 个可见运行时外壳角色完整；根舞台为空，VersionUtil_versionXml 为不可视二进制数据"
"module/qqfarm.swf","reviewed-with-note","入口 SWF 仅承担加载外壳且没有可见首帧或导出角色，不作为图片素材"
"module/mc/main/commonui_v_5.swf","reviewed-with-note","36 个可见通用 UI 角色完整；Level_mc 和根舞台为空，List_UI 已由 JPEXS 回退导出"
"module/mc/main/farmui1_v_12.swf","reviewed-with-note","121 个可见 UI/动作角色完整；GoldB 和根舞台为空，WhistleList、WarehouseForm 已由 JPEXS 回退导出"
"module/mc/main/farmui2_v_5.swf","reviewed-ok","34 个牧场事件、升级建筑和控件角色完整；根舞台为空符合素材库结构"
"module/mc/main/outswf/help.swf","reviewed-ok","根帮助页及8个分页/控件均经 JPEXS 回退完整导出"
"module/mc/main/shopui_v_2.swf","reviewed-ok","76 个基础动物、产物和商店角色完整；根舞台为空符合素材库结构"
"module/mc/main/shopui2_v_9.swf","reviewed-ok","80 个中段动物、产物和商店角色完整；根舞台为空符合素材库结构"
"module/mc/main/shopui3_v_8.swf","reviewed-with-note","98 个后段动物、产物和商店角色完整；两个 Timeline 容器和根舞台为空，属于运行时占位"
"module/mc/main/task.swf","reviewed-ok","16 个牧场任务说明、图标和按钮角色完整；根舞台为空符合素材库结构"
"module/mc/main/upgrade_v_1.swf","reviewed-ok","两个114帧升级角色完整；根舞台为空符合素材库结构"
"farm-decoration-board","reviewed-ok","15 张留言板 PNG 均完整可读；Thumbs.db 仅登记元数据"
