"source_id","name","contact_sheet","review_status","review_note"
"2","白萝卜","contact-sheets/crops/crop-002.png","reviewed-ok","生长与成熟前复用源角色 8，已确认是原 SWF 结构。"
"3","胡萝卜","contact-sheets/crops/crop-003.png","reviewed-ok","生长与成熟前复用源角色 8，已确认是原 SWF 结构。"
"40","牧草","contact-sheets/crops/crop-040.png","reviewed-ok","生长与成熟前复用源角色 15，已确认是原 SWF 结构。"
"81","圣诞树","contact-sheets/crops/crop-081.png","reviewed-ok",""
"59","大白菜","contact-sheets/crops/crop-059.png","reviewed-ok",""
"60","水稻","contact-sheets/crops/crop-060.png","reviewed-ok","当前阶段 1 使用幼苗状态内嵌纯植株角色 14；当前阶段 2 使用成熟前角色 44。"
"61","小麦","contact-sheets/crops/crop-061.png","reviewed-ok","当前阶段 2 使用成熟前角色 22。"
"4","玉米","contact-sheets/crops/crop-004.png","reviewed-ok",""
"5","土豆","contact-sheets/crops/crop-005.png","reviewed-ok",""
"6","茄子","contact-sheets/crops/crop-006.png","reviewed-ok",""
"51","红枣","contact-sheets/crops/crop-051.png","reviewed-ok",""
"7","番茄","contact-sheets/crops/crop-007.png","reviewed-ok",""
"105","小雏菊","contact-sheets/crops/crop-105.png","reviewed-ok",""
"8","豌豆","contact-sheets/crops/crop-008.png","reviewed-ok",""
"41","红玫瑰","contact-sheets/crops/crop-041.png","reviewed-ok",""
"9","辣椒","contact-sheets/crops/crop-009.png","reviewed-ok",""
"103","天香百合","contact-sheets/crops/crop-103.png","reviewed-ok",""
"10","南瓜","contact-sheets/crops/crop-010.png","reviewed-ok",""
"1","草莓","contact-sheets/crops/crop-001.png","reviewed-ok",""
"11","苹果","contact-sheets/crops/crop-011.png","reviewed-ok",""
"62","四叶草","contact-sheets/crops/crop-062.png","reviewed-ok",""
"104","非洲菊","contact-sheets/crops/crop-104.png","reviewed-ok",""
"14","西瓜","contact-sheets/crops/crop-014.png","reviewed-ok",""
"70","黄豆","contact-sheets/crops/crop-070.png","reviewed-ok",""
"111","粉玫瑰","contact-sheets/crops/crop-111.png","reviewed-ok",""
"15","香蕉","contact-sheets/crops/crop-015.png","reviewed-ok",""
"112","风信子","contact-sheets/crops/crop-112.png","reviewed-ok",""
"118","水仙花","contact-sheets/crops/crop-118.png","reviewed-ok",""
"18","桃子","contact-sheets/crops/crop-018.png","reviewed-ok",""
"47","甘蔗","contact-sheets/crops/crop-047.png","reviewed-ok",""
"109","蝴蝶兰","contact-sheets/crops/crop-109.png","reviewed-ok",""
"19","橙子","contact-sheets/crops/crop-019.png","reviewed-ok",""
"25","银杏树苗","contact-sheets/crops/crop-025.png","reviewed-ok",""
"67","香瓜","contact-sheets/crops/crop-067.png","reviewed-ok",""
"82","摇钱树","contact-sheets/crops/crop-082.png","reviewed-ok",""
"113","栀子花","contact-sheets/crops/crop-113.png","reviewed-ok",""
"13","葡萄","contact-sheets/crops/crop-013.png","reviewed-ok",""
